name,price
Cucumber - English,21.7
Cheese - Comte,28.17
Milk - Chocolate 250 Ml,15.03
Flour Pastry Super Fine,33.28
"Wine - Red, Pelee Island Merlot",27.8
Sugar - White Packet,43.59
Puree - Mocha,13.83
"Tart Shells - Savory, 2",31.45
Pail With Metal Handle 16l White,18.81
Wine - Sake,47.7
Carrots - Jumbo,40.6
Cheese - Le Cru Du Clocher,39.51
Sauce - Vodka Blush,49.67
"Marjoram - Dried, Rubbed",23.57
Beer - Fruli,44.67
Wine - Muscadet Sur Lie,44.08
Flounder - Fresh,12.93
Lettuce - Lambs Mash,35.89
Kellogs Special K Cereal,36.83
Smoked Tongue,42.0
Kirsch - Schloss,29.25
Melon - Cantaloupe,20.24
Vinegar - White Wine,19.64
Tea - Apple Green Tea,46.84
Tea - Earl Grey,43.34
"Iced Tea - Lemon, 460 Ml",46.53
Cabbage - Red,10.13
Wasabi Powder,35.38
"Stock - Beef, Brown",28.33
Flour - Bread,22.88
Langers - Mango Nectar,33.92
Pepsi - 600ml,33.13
Cardamon Seed / Pod,33.42
Rice - Long Grain,27.04
Waffle Stix,36.33
"Nut - Chestnuts, Whole",30.78
Cheese - Cambozola,38.73
"Yogurt - Blueberry, 175 Gr",39.9
Scallops - 20/30,34.08
"Artichokes - Knobless, White",35.71
"Pepper - Paprika, Hungarian",49.27
Cheese - Parmesan Grated,19.57
Laundry - Bag Cloth,23.72
"Jam - Strawberry, 20 Ml Jar",11.82
Langers - Cranberry Cocktail,45.75
Soup - Campbells Asian Noodle,18.78
Sping Loaded Cup Dispenser,42.84
Steampan - Lid For Half Size,35.8
Oil - Macadamia,41.83
Sugar - White Packet,33.27
